StockCode,mae_naive,mae_mean,mae_hw,beats_naive,improvement,product,class
22427,28.92,26.46,33.96,False,-17.4,ENAMEL FLOWER JUG CREAM,AY
22952,357.92,647.27,399.97,False,-11.7,60 CAKE CASES VINTAGE CHRISTMAS,AZ
21908,74.46,76.44,70.8,True,4.9,CHOCOLATE THIS WAY METAL SIGN,AY
22061,20.69,25.95,20.12,True,2.8,LARGE CAKE STAND  HANGING STRAWBERY,AY
84949,108.31,103.72,113.29,False,-4.6,SILVER HANGING T-LIGHT HOLDER,AY
71053,27.08,23.52,24.0,True,11.4,WHITE METAL LANTERN,AY
84947,160.08,169.16,169.16,False,-5.7,ANTIQUE SILVER TEA GLASS ENGRAVED,AY
47591D,98.0,46.36,75.92,True,22.5,PINK FAIRY CAKE CHILDRENS APRON,AY
22555,82.69,40.28,43.87,True,46.9,PLASTERS IN TIN STRONGMAN,AY
21035,48.0,48.86,48.86,False,-1.8,SET/2 RED RETROSPOT TEA TOWELS,AY
22041,52.85,55.57,55.57,False,-5.2,"RECORD FRAME 7"" SINGLE SIZE",AY
21121,112.77,86.75,86.75,True,23.1,SET/10 RED POLKADOT PARTY CANDLES,AY
22847,26.08,13.91,14.69,True,43.7,BREAD BIN DINER STYLE IVORY,AY
21484,50.0,43.06,56.51,False,-13.0,CHICK GREY HOT WATER BOTTLE,AZ
21430,30.38,18.69,37.15,False,-22.3,SET/3 RED GINGHAM ROSE STORAGE BOX,AY
22505,15.85,19.31,15.96,False,-0.7,MEMO BOARD COTTAGE DESIGN,AY
22147,217.31,210.62,220.48,False,-1.5,FELTCRAFT BUTTERFLY HEARTS,AY
22560,249.62,170.57,166.38,True,33.3,TRADITIONAL MODELLING CLAY,AY
22352,31.62,33.12,33.12,False,-4.8,LUNCH BOX WITH CUTLERY RETROSPOT,AX
22297,39.85,73.95,37.8,True,5.1,HEART IVORY TRELLIS SMALL,AY
84945,220.31,184.46,193.86,True,12.0,MULTI COLOUR SILVER T-LIGHT HOLDER,AY
84970L,52.54,98.05,66.56,False,-26.7,SINGLE HEART ZINC T-LIGHT HOLDER,AX
21914,103.08,176.54,135.57,False,-31.5,BLUE HARMONICA IN BOX,AY
22633,173.08,223.56,180.14,False,-4.1,HAND WARMER UNION JACK,AZ
22776,8.0,6.74,10.0,False,-25.0,SWEETHEART CAKESTAND 3 TIER,AY
21136,37.85,43.67,43.67,False,-15.4,PAINTED METAL PEARS ASSORTED,AY
20718,49.62,61.07,50.38,False,-1.5,RED RETROSPOT SHOPPER BAG,AX
22557,34.92,35.06,39.1,False,-12.0,PLASTERS IN TIN VINTAGE PAISLEY,AY
84992,111.92,171.27,133.38,False,-19.2,72 SWEETHEART FAIRY CAKE CASES,AY
22366,22.62,19.17,22.89,False,-1.2,DOORMAT AIRMAIL,AZ
21889,96.31,137.15,103.17,False,-7.1,WOODEN BOX OF DOMINOES,AY
23240,32.0,115.35,32.22,False,-0.7,SET OF 4 KNICK KNACK TINS DOILY,AZ
21156,72.23,40.66,69.64,True,3.6,RETROSPOT CHILDRENS APRON,AY
22654,21.54,15.29,19.84,True,7.9,DELUXE SEWING KIT,AY
21535,26.23,47.26,32.57,False,-24.2,RED RETROSPOT SMALL MILK JUG,AY
22652,153.23,102.97,124.79,True,18.6,TRAVEL SEWING KIT,AY
21533,8.38,18.97,18.97,False,-126.2,RETRO SPOT LARGE MILK JUG,AX
21164,11.54,40.66,18.61,False,-61.3,HOME SWEET HOME METAL SIGN,AY
72760B,4.69,10.91,2.83,True,39.7,VINTAGE CREAM 3 BASKET CAKE STAND,AY
22993,94.23,235.05,98.97,False,-5.0,SET OF 4 PANTRY JELLY MOULDS,AY
22837,0.69,37.29,0.71,False,-2.0,HOT WATER BOTTLE BABUSHKA,AZ
22487,6.85,4.74,6.89,False,-0.7,WHITE WOOD GARDEN PLANT LADDER,AY
