StockCode,model,smoothing_level_alpha,initial_level,sse,aic,n_train_weeks,train_start,train_end,converged,mae_naive,mae_mean,mae_hw,beats_naive,product,ABC,XYZ,class
85152,SimpleExponentialSmoothing,0.0,142.2,941137.1,861.7,93,2009-11-30,2011-09-05,True,257.61538461538464,163.64516129032256,163.64516106982092,True,HAND OVER THE CHOCOLATE   SIGN,A,Y,AY
85014B,SimpleExponentialSmoothing,0.396,516.7,1254022.4,888.4,93,2009-11-30,2011-09-05,True,34.0,29.622828784119115,33.2167431774844,True,RED RETROSPOT UMBRELLA,A,Z,AZ
48184,SimpleExponentialSmoothing,0.0,42.09,278367.3,748.4,93,2009-11-30,2011-09-05,True,48.07692307692308,51.43093465674112,51.43093447284093,False,DOORMAT ENGLISH ROSE,A,Y,AY
23245,SimpleExponentialSmoothing,0.4116,0.0,627023.9,823.9,93,2009-11-30,2011-09-05,True,81.76923076923077,165.82712985938798,65.53953887401528,True,SET OF 3 REGENCY CAKE TINS,A,Z,AZ
21479,SimpleExponentialSmoothing,0.8209,203.71,433774.2,789.6,93,2009-11-30,2011-09-05,True,111.15384615384616,93.58478081058726,110.26666068775282,True,WHITE SKULL HOT WATER BOTTLE,A,Z,AZ
22697,SimpleExponentialSmoothing,0.3989,0.0,259241.2,741.8,93,2009-11-30,2011-09-05,True,60.69230769230769,74.98759305210919,59.86620337298813,True,GREEN REGENCY TEACUP AND SAUCER,A,Y,AY
23199,SimpleExponentialSmoothing,0.3339,0.0,1974098.2,930.6,93,2009-11-30,2011-09-05,True,170.69230769230768,245.70223325062037,208.9582356754952,False,JUMBO BAG APPLES,A,Z,AZ
22501,SimpleExponentialSmoothing,0.4528,0.0,123008.3,672.4,93,2009-11-30,2011-09-05,True,4.846153846153846,22.75765095119933,5.385833050352753,False,PICNIC BASKET WICKER LARGE,A,Z,AZ
20679,SimpleExponentialSmoothing,0.2821,464.64,1690405.4,916.1,93,2009-11-30,2011-09-05,True,28.846153846153847,26.42679900744417,23.211275831483007,True,EDWARDIAN PARASOL RED,A,Z,AZ
21217,SimpleExponentialSmoothing,0.1053,46.06,51790.7,592.0,93,2009-11-30,2011-09-05,True,16.307692307692307,16.210918114143922,9.91103756247993,True,RED SPOTTY ROUND CAKE TINS,A,Y,AY
